# Lifetime spectra at each unfolded fraction
# Gaussian R_mean=35.0 Å, sigma=4.0 Å; WLC Lc=80.0 Å, Lp=60.0 Å
# fraction_unfolded	amplitude	lifetime_ns
0.10000000	0.00015759	0.00000151
0.10000000	0.00015914	0.00000205
0.10000000	0.00016085	0.00000279
0.10000000	0.00016276	0.00000379
0.10000000	0.00016489	0.00000515
0.10000000	0.00016725	0.00000701
0.10000000	0.00016988	0.00000953
0.10000000	0.00017282	0.00001296
0.10000000	0.00017609	0.00001762
0.10000000	0.00017973	0.00002396
0.10000000	0.00018381	0.00003258
0.10000000	0.00018836	0.00004431
0.10000000	0.00019344	0.00006026
0.10000000	0.00019914	0.00008195
0.10000000	0.00020552	0.00011144
0.10000000	0.00021267	0.00015155
0.10000000	0.00022070	0.00020609
0.10000000	0.00022974	0.00028027
0.10000000	0.00023991	0.00038113
0.10000000	0.00025138	0.00051829
0.10000000	0.00026434	0.00070479
0.10000000	0.00027900	0.00095840
0.10000000	0.00029562	0.00130323
0.10000000	0.00031451	0.00177208
0.10000000	0.00033603	0.00240949
0.10000000	0.00036058	0.00327600
0.10000000	0.00038868	0.00445377
0.10000000	0.00042092	0.00605433
0.10000000	0.00045803	0.00822890
0.10000000	0.00050085	0.01118233
0.10000000	0.00055043	0.01519175
0.10000000	0.00060802	0.02063131
0.10000000	0.00067514	0.02800487
0.10000000	0.00075365	0.03798856
0.10000000	0.00084580	0.05148528
0.10000000	0.00095436	0.06969281
0.10000000	0.00108271	0.09418577
0.10000000	0.00123500	0.12700841
0.10000000	0.00141632	0.17076925
0.10000000	0.00163289	0.22871750
0.10000000	0.00189229	0.30476469
0.10000000	0.00220367	0.40339249
0.10000000	0.00257794	0.52936573
0.10000000	0.00302775	0.68716232
0.10000000	0.00356714	0.88006846
0.10000000	0.00421029	1.10900028
0.10000000	0.00496869	1.37130906
0.10000000	0.00584485	1.66003533
0.10000000	0.00681955	1.96413013
0.10000000	0.00782713	2.26989307
0.10000000	0.00871046	2.56332399
0.10000000	0.00914944	2.83258347
0.10000000	0.00859006	3.06969371
0.10000000	0.00636306	3.27103882
0.10000000	0.00263397	3.43680211
0.10000000	0.00016013	3.56982850
0.10000000	0.00000000	3.67441095
0.10000000	0.00000000	3.75531030
0.10000000	0.00000000	3.81710905
0.10000000	0.00000000	3.86386573
0.10000000	0.00000000	3.89898525
0.10000000	0.00000000	3.92522008
0.10000000	0.00000000	3.94473795
0.10000000	0.00000000	3.95921452
0.10000000	0.00000000	3.96992768
0.10000000	0.00000000	3.97784255
0.10000000	0.00000000	3.98368284
0.10000000	0.00000000	4.00000000
0.15000000	0.00000000	0.00000000
0.15000000	0.00000000	0.00000000
0.15000000	0.00000000	0.00000000
0.15000000	0.00000000	0.00000000
0.15000000	0.00000000	0.00000000
0.15000000	0.00000000	0.00000000
0.15000000	0.00000000	0.00000000
0.15000000	0.00000000	0.00000000
0.15000000	0.00000000	0.00000000
0.15000000	0.00000000	0.00000000
0.15000000	0.00000000	0.00000000
0.15000000	0.00000000	0.00000001
0.15000000	0.00000000	0.00000001
0.15000000	0.00000000	0.00000001
0.15000000	0.00000000	0.00000001
0.15000000	0.00000000	0.00000002
0.15000000	0.00000000	0.00000003
0.15000000	0.00000000	0.00000004
0.15000000	0.00000000	0.00000005
0.15000000	0.00000000	0.00000007
0.15000000	0.00000000	0.00000009
0.15000000	0.00000000	0.00000013
0.15000000	0.00000000	0.00000018
0.15000000	0.00000000	0.00000024
0.15000000	0.00000000	0.00000032
0.15000000	0.00000000	0.00000044
0.15000000	0.00000000	0.00000060
0.15000000	0.00000000	0.00000081
0.15000000	0.00000000	0.00000111
0.15000000	0.00000000	0.00000151
0.15000000	0.00000000	0.00000205
0.15000000	0.00000000	0.00000279
0.15000000	0.00000000	0.00000379
