d[A]	CH	ON	OH	CN
0.415	148.024	22950000000	-148.024	67110000000
0.425	144.5411	17250000000	-144.5411	50430000000
0.435	141.2183	13050000000	-141.2183	38150000000
0.445	138.0448	9933919149.881	-138.0448	29040000000
0.455	135.0109	7608577264.043	-135.0109	22240000000
0.465	132.1074	5861438066.9278	-132.1074	17140000000
0.475	129.3262	4540624959.7732	-129.3262	13280000000
0.485	126.6597	3536204261.9474	-126.6597	10340000000
0.495	124.1009	2768056804.4494	-124.1009	8092839868.0953
0.505	121.6435	2177408632.5598	-121.6435	6365995751.231
0.515	119.2815	1720872633.199	-119.2815	5031246938.8716
0.525	117.0094	1366226589.9766	-117.0094	3994387462.6393
0.535	114.8223	1089401023.3196	-114.8223	3185046959.5902
0.545	112.7155	872315937.7916	-112.7155	2550366118.6966
0.555	110.6846	701317349.5992	-110.6846	2050425663.1774
0.565	108.7256	566040384.096	-108.7256	1654922466.0904
0.575	106.8347	458577687.8744	-106.8347	1340738293.1618
0.585	105.0085	372867709.1218	-105.0085	1090151359.3691
0.595	103.2436	304242249.9981	-103.2436	889513538.2241
0.605	101.5371	249090053.652	-101.5371	728266813.6159
0.615	99.8861	204605391.6636	-99.8861	598208241.6188
0.625	98.2879	168599249.1727	-98.2879	492937924.9158
0.635	96.7401	139356846.3523	-96.7401	407442457.6676
0.645	95.2402	115529629.6215	-95.2402	337779147.2484
0.655	93.7862	96053028.2674	-93.7862	280835564.5829
0.665	92.3759	80083559.7834	-92.3759	234145663.0449
0.675	91.0073	66950530.7456	-91.0073	195748569.3626
0.685	89.6788	56118795.7789	-89.6788	164079704.3397
0.695	88.3884	47159929.9853	-88.3884	137886501.4647
0.705	87.1347	39729828.9688	-87.1347	116162917.471
0.715	85.916	33551238.887	-85.916	98098356.4991
0.725	84.731	28400082.5023	-84.731	83037692.3825
0.735	83.5782	24094719.0388	-83.5782	70449868.3164
0.745	82.4563	20487479.7571	-82.4563	59903149.9012
0.755	81.3642	17457975.038	-81.3642	51045557.4383
0.765	80.3006	14907785.2364	-80.3006	43589343.8692
0.775	79.2645	12756236.0579	-79.2645	37298643.4713
0.785	78.2547	10937026.703	-78.2547	31979613.7378
0.795	77.2704	9395530.6769	-77.2704	27472543.8915
0.805	76.3105	8086628.8443	-76.3105	23645519.4933
0.815	75.3742	6972964.8913	-75.3742	20389322.0184
0.825	74.4606	6023537.0085	-74.4606	17613311.4243
0.835	73.5688	5212557.9618	-73.5688	15242093.3887
0.845	72.6982	4518530.0007	-72.6982	13212814.6582
0.855	71.8479	3923492.208	-71.8479	11472962.5533
0.865	71.0173	3412406.629	-71.0173	9978570.2173
0.875	70.2057	2972656.3794	-70.2057	8692749.2505
0.885	69.4124	2593634.3349	-69.4124	7584487.1771
0.895	68.6368	2266405.2777	-68.6368	6627659.671
0.905	67.8784	1983427.7539	-67.8784	5800217.3584
0.915	67.1366	1738324.5846	-67.1366	5083514.8655
0.925	66.4108	1525693.112	-66.4108	4461756.0397
0.935	65.7005	1340947.9698	-65.7005	3921534.2593
0.945	65.0052	1180190.5349	-65.0052	3451450.7516
0.955	64.3246	1040100.3145	-64.3246	3041797.0409
0.965	63.658	917844.4034	-63.658	2684290.2315
0.975	63.0051	811001.861	-63.0051	2371851.9069
0.985	62.3654	717500.4294	-62.3654	2098423.1123
0.995	61.7386	635563.4797	-61.7386	1858809.243
1.005	61.1243	563665.4552	-61.1243	1648549.7695
1.015	60.5221	500494.3808	-60.5221	1463808.6292
1.025	59.9317	444920.2665	-59.9317	1301281.8442
1.035	59.3526	395968.4302	-59.3526	1158119.5264
1.045	58.7846	352796.9384	-58.7846	1031859.9177
1.055	58.2274	314677.4959	-58.2274	920373.5191
1.065	57.6807	280979.2335	-57.6807	821815.6872
1.075	57.1441	251154.9297	-57.1441	734586.3522
1.085	56.6175	224729.286	-56.6175	657295.7359
1.095	56.1004	201288.9318	-56.1004	588735.1294
1.105	55.5927	180473.893	-55.5927	527851.9486
1.115	55.0941	161970.2983	-55.0941	473728.409
1.125	54.6044	145504.1352	-54.6044	425563.2694
1.135	54.1233	130835.8966	-54.1233	382656.1802
1.145	53.6506	117755.9852	-53.6506	344394.2459
1.155	53.1861	106080.7627	-53.1861	310240.4741
1.165	52.7296	95649.1489	-52.7296	279723.8314
1.175	52.2808	86319.69	-52.2808	252430.6727
1.185	51.8396	77968.0293	-51.8396	227997.3439
1.195	51.4058	70484.7203	-51.4058	206103.7894
1.205	50.9792	63773.3354	-50.9792	186468.0216
1.215	50.5596	57748.8272	-50.5596	168841.3295
1.225	50.1469	52336.1073	-50.1469	153004.1228
1.235	49.7409	47468.8122	-49.7409	138762.3241
1.245	49.3413	43088.2303	-49.3413	125944.2312
1.255	48.9482	39142.368	-48.9482	114397.7869
1.265	48.5612	35585.1366	-48.5612	103988.1999
1.275	48.1804	32375.6416	-48.1804	94595.8694
1.285	47.8054	29477.5638	-47.8054	86114.5732
1.295	47.4363	26858.6171	-47.4363	78449.8829
1.305	47.0728	24490.0744	-47.0728	71517.7779
1.315	46.7148	22346.3523	-46.7148	65243.4308
1.325	46.3622	20404.6466	-46.3622	59560.1422
1.335	46.0149	18644.6131	-46.0149	54408.4059
1.345	45.6728	17048.0862	-45.6728	49735.0875
1.355	45.3358	15598.8321	-45.3358	45492.7018
1.365	45.0036	14282.3311	-45.0036	41638.7768
1.375	44.6763	13085.586	-44.6763	38135.2931
1.385	44.3538	11996.9532	-44.3538	34948.1896
1.395	44.0358	11005.9929	-44.0358	32046.9269
1.405	43.7224	10103.338	-43.7224	29404.1016
1.415	43.4134	9280.5766	-43.4134	26995.1053
1.425	43.1087	8530.1494	-43.1087	24797.8227
1.435	42.8083	7845.2579	-42.8083	22792.3636
1.445	42.5121	7219.7835	-42.5121	20960.8262
1.455	42.2199	6648.215	-42.2199	19287.0864
1.465	41.9317	6125.5854	-41.9317	17756.6106
